scientific name,common name
Abutilon theophrasti,velvetleaf
Gossypium barbadense,Egyptian cotton
Gossypium hirsutum,American cotton
Gossypium hirsutum,American upland cotton
Theobroma cacao,chocolate
Theobroma cacao,cocoa
Lecythidaceae,Brazil nut family
Caricaceae,papaya family
Carica papaya,mamon
Cucurbitaceae,cucumber family
Citrullus lanatus,wild melon
Cucumis melo,Oriental melon
Cucumis melo var. conomon,snake cucumber
Cucumis melo var. cantalupo,Persian melo
Cucumis melo var. cantalupo,netted muskmelon
Cucumis melo var. cantalupo,nutmeg melon
Cucumis sativus,cucumbers
Cucurbita,pumpkins
Cucurbita,squashes
Cucurbita maxima,Boston marrow
Cucurbita maxima,great pumpkin
Cucurbita moschata,Canada pumpkin
Cucurbita moschata,ayote
Cucurbita moschata,crookneck winter squash
Cucurbita moschata,cushaw squash
Cucurbita moschata,lacayote
Cucurbita pepo subsp. pepo,field pumpkin
Lagenaria siceraria,bottle gourd
Lagenaria siceraria,calabash
Luffa aegyptiaca,dishcloth gourd
Luffa aegyptiaca,loofa
Luffa aegyptiaca,sponge gourd
Luffa aegyptiaca,vegetable sponge
Momordica charantia,balsam pear
Momordica charantia,bitter gourd
Trichosanthes kirilowii,Mongolian snake-gourd
Trichosanthes kirilowii,gua lou
Trichosanthes kirilowii,tian hua fen
Begoniaceae,begonia family
Passifloraceae,passionflower famly
Passiflora quadrangularis,giant granadilla
Salicaceae,willow family
Populus,poplar
Populus,poplar trees
Populus x canadensis,Canadian poplar
Populus x canadensis,Carolina poplar
Populus nigra,Lombardy poplar
Populus nigra,black poplar
Populus trichocarpa,western balsam poplar
Arabidopsis thaliana,mouse-ear cress
Arabidopsis thaliana,thale-cress
Armoracia rusticana,horseradish
Brassica juncea,Indian mustard
Brassica juncea,brown mustard
Brassica napus,oilseed rape
Brassica napus,rapeseeds
Brassica napus subsp. rapifera,Swedish turnip
Brassica napus subsp. rapifera,rutabaga
Brassica oleracea var. viridis,collards
Brassica oleracea var. viridis,fodder kale
Brassica oleracea var. alboglabra,Chinese broccoli
Brassica oleracea var. botrytis,cauliflower
Crambe hispanica subsp. abyssinica,Abyssinian crambe
Crambe hispanica subsp. abyssinica,Abyssinian kale
Sinapis alba,bai jie
Sinapis alba,yellow mustard
Moringaceae,horseradish tree family
Moringa oleifera,maranga
Sapotaceae,sapodilla family
Manilkara zapota,chicle
Manilkara zapota,sapodilla
Manilkara zapota,sapote
Synsepalum dulcificum,miracle fruit
Synsepalum dulcificum,sweet berry
Rosaceae,rose family
Malus domestica,apple tree
Malus domestica,cultivated apple
Malus sylvestris,European crab apple
Prunus dulcis,sweet almond
Prunus yedoensis,Cheju native flowering cherry
Prunus yedoensis,Potomac cherry
Prunus yedoensis,Yoshino cherry
Rosa x damascena,damask rose
Pyrus pyrifolia,sha li
Crassulaceae,stonecrop family
Saxifragaceae,saxifrage family
Heuchera micrantha,alumroot
Ribes americanum,eastern black currant
Ribes americanum,wild black currant
Fabaceae,pea family
Adenanthera pavonina,Barbados pride
Adenanthera pavonina,Circassian bean
Adenanthera pavonina,Condori wood
Adenanthera pavonina,red sandalwood tree
Adenanthera pavonina,sandal bead tree
Abrus precatorius,crab's eye
Abrus precatorius,crab's-eye
Abrus precatorius,rosary pea
Arachis hypogaea,goober
Arachis hypogaea,ground-nut
Canavalia ensiformis,horse bean
Canavalia gladiata,Japanese jack bean
Cicer arietinum,garbanzo
Cyamopsis tetragonoloba,cluster bean
Vigna unguiculata subsp. cylindrica,catjang
Vigna unguiculata subsp. cylindrica,catjang cowpea
Vigna unguiculata subsp. cylindrica,sow-pea
Erythrina caffra,lucky beantree
Erythrina corallodendron,coral tree
Erythrina variegata,Indian coral tree
Erythrina variegata,ci tong
Erythrina variegata,dabdab
Glycine max,soybeans
Glycine soja,wild soybean
Lathyrus aphaca,yellow pea
Lathyrus cicera,red pea
Lathyrus hirsutus,hairy vetchling
Lathyrus sativus,chickling vetch
Lathyrus sativus,white pea
Leucaena leucocephala,cassie
Leucaena leucocephala,granadillo bobo
Leucaena leucocephala,ipil ipil
Leucaena leucocephala,jumbie bean
Leucaena leucocephala,jump-and-go
Macrotyloma axillare,perennial horse gram
Medicago falcata,sickle alfalfa
Medicago falcata,yellow lucerne
Medicago falcata,yellow-flower alfalfa
Medicago sativa,alfalfa
Medicago sativa,lucerne
Phaseolus vulgaris,French bean
Phaseolus vulgaris,kidney bean
Phaseolus vulgaris,string bean
Phaseolus coccineus,scarlet runner bean
Pisum sativum,garden pea
Pisum sativum,peas
Psophocarpus tetragonolobus,Goa bean
Psophocarpus tetragonolobus,asparagus bean
Psophocarpus tetragonolobus,asparagus pea
Psophocarpus tetragonolobus,winged beans
Pueraria montana var. lobata,kudzu
Trifolium repens,creeping white clover
Ulex europaeus,gorse
Vicia faba,broad bean
Vicia faba,faba bean
Vicia faba var. minor,tick bean
Vicia sativa,spring vetch
Vicia sativa,tare
Vicia sativa subsp. nigra,black-pod vetch
Vicia sativa subsp. nigra,common vetch
Vicia sativa subsp. nigra,narrow-leaf vetch
Vigna angularis,azuki bean
Vigna mungo,urad dal
Vigna mungo,urd-bean
Vigna radiata var. radiata,golden gram
Vigna radiata var. radiata,green gram
Vigna aconitifolia,moth-bean
Vigna unguiculata subsp. unguiculata,black-eyed pea
Vigna unguiculata subsp. unguiculata,crowder pea
Wisteria floribunda,Japanese wistaria
Philenoptera violacea,apple-leaf
Lythraceae,loosestrife family
Myrtaceae,myrtle family
Onagraceae,evening-primrose family
Clarkia xantiana,gusight clarkia
Oenothera berteroana,Bertero's evening primrose
Oenothera speciosa,pink-ladies
Combretaceae,Indian almond family
Combretum indicum,Rangoon-creeper
Combretum indicum,shi jun zi
Santalaceae,sandlewood family
Pyrularia pubera,buffalo nut
Pyrularia pubera,rabbitwood
Loranthaceae,catkin mistletoe family
Euphorbiaceae,spurge family
Hevea brasiliensis,Para rubber tree
Hevea brasiliensis,jebe
Hevea brasiliensis,siringa
Manihot esculenta,manioc
Manihot esculenta,tapioca
Manihot esculenta,yuca
Mercurialis annua,annual mercury
Mercurialis annua,herb mercury
Euphorbia esula,wolf's milk
Simmondsia chinensis,goatnut
Simmondsia chinensis,jojoba
Buxaceae,boxwood family
Linaceae,flax family
Anacardiaceae,sumac family
Toxicodendron vernicifluum,Chinese lacquer
Toxicodendron vernicifluum,Japanese lacquer tree
Toxicodendron vernicifluum,Japanese lacquer-tree
Toxicodendron vernicifluum,varnish tree
Burseraceae,frankincense family
Tropaeolaceae,nasturtium family
Geraniaceae,geranium family
Pelargonium x hortorum,bedding geranium
Pelargonium x hortorum,house geranium
Pelargonium x hortorum,zonal geranium
Pelargonium x hortorum,zonal pelargonium
Oxalidaceae,wood-sorrel family
Apiaceae,carrot family
Daucus carota,Queen Anne's lace
Daucus carota,carrots
Coriandrum sativum,cilantro
Hydrocotyle,navelworts
Araliaceae,ginseng family
Hedera helix,English ivy
Panax ginseng,Asiatic ginseng
Panax ginseng,Chinese ginseng
Panax ginseng,Korean ginseng
Panax ginseng,ginseng
Panax ginseng,hong shen
Panax ginseng,insam
Panax ginseng,jinso
Panax ginseng,ninjin
Panax ginseng,ren seng
Panax ginseng,sansam
Apocynaceae,dogbane family
Catharanthus roseus,chatas
Catharanthus roseus,chula
Catharanthus roseus,old-maid
Catharanthus roseus,rosy periwinkle
Rauvolfia serpentina,devilpepper
Calotropis gigantea,bowstring hemp
Calotropis gigantea,madar
Solanaceae,nightshade family
Capsicum frutescens,bird pepper
Capsicum frutescens,chili pepper
Capsicum frutescens,hot pepper
Datura inoxia,downy thornapple
Datura stramonium,common thornapple
Hyoscyamus niger,black henbane
Hyoscyamus niger,chupa mieles
Hyoscyamus niger,hog's-bean
Hyoscyamus niger,stinking-nightshade
Hyoscyamus niger,tian xian zi
Solanum peruvianum,Peruvian tomato
Solanum pimpinellifolium,currant tomato
Nicotiana alata,Indian tobacco
Nicotiana alata,flowering tobacco
Nicotiana alata,ornamental tobacco
Nicotiana alata,winged tobacco
Nicotiana glauca,glaucous tobacco
Nicotiana plumbaginifolia,leadwort-leaved tobacco
Nicotiana rustica,wild tobacco
Nicotiana tabacum,American tobacco
Nicotiana tabacum,tobacco
Petunia,petunia
Petunia x hybrida,garden petunia
Petunia integrifolia,violet-flowered petunia
Solanum melongena,aubergine
Solanum melongena,brinjal
Solanum tuberosum,potatoes
Convolvulaceae,morning-glory family
Ipomoea batatas,batate
Cuscuta reflexa,giant dodder
Hydrophyllaceae,waterleaf family
Lamiaceae,mint family
Leonurus japonicus,Chinese motherwort
Leonurus japonicus,sagebrush motherwort
Leonurus japonicus,yi mu cao
Oleaceae,olive famly
Olea,olives
Jasminum,jessamines
Scrophulariaceae,figwort family
Antirrhinum majus,garden snapdragon
Erythranthe guttata,common monkey flower
Erythranthe guttata,yellow monkey flower
Erythranthe laciniata,cutleaf monkeyflower
Striga,witchweeds
Striga asiatica,witchweed
Veronica,brooklimes
Pedaliaceae,sesame family
Sesamum indicum,beniseed
Sesamum indicum,gingelly
Sesamum indicum,hu ma
Sesamum indicum,koba
Pinguicula,butterworts
Pinguicula caerulea,blueflower butterwort
Caprifoliaceae,honeysuckle famly
Viburnum acerifolium,dockmackie
Viburnum acerifolium,mapleleaf viburnum
Adoxa moschatellina,moschatel
Adoxa moschatellina,muskroot
Adoxa moschatellina,townhall clock
Asteraceae,daisy family
Ambrosia,ragweeds
Ambrosia artemisiifolia,annual ragweed
Ambrosia artemisiifolia,short ragweed
Artemisia vulgaris,common wormwood
Artemisia vulgaris,mugwort
Guizotia abyssinica,niger
Guizotia abyssinica,ramtil
Guizotia abyssinica,ramtilla
Guizotia abyssinica,werinnua
Helianthus,sunflowers
Helianthus tuberosus,Jerusalem artichoke
Lactuca sativa,cultivated lettuce
Lactuca sativa,garden lettuce
Madia,tarweeds
Madia elegans,common Madia
Cynara cardunculus,cardoon
Cynara cardunculus,wild artichoke
Malpighiaceae,Barbados cherry family
Byrsonima crassifolia,craboo
Byrsonima crassifolia,golden-spoon
Byrsonima crassifolia,indano
Byrsonima crassifolia,murici
Byrsonima crassifolia,nance
Byrsonima crassifolia,yoco
Polygala cruciata,drumheads
Cornus canadensis,bunchberry
Cornus canadensis,creeping dogwood
Cornus canadensis,dwarf cornel
Cornus florida,flowering dogwood
Cornus racemosa,panicled dogwood
Cornus mas,cornelian cherry
Aquifoliaceae,holly family
Ilex crenata,Japanese holly
Ilex crenata,box-leaf holly
Ilex vomitoria,yaupon
Ilex aquifolium,English holly
Ilex pernyi,Perny's holly
Nemopanthus mucronatus,mountain holly
Celastraceae,bittersweet family
Euonymus alatus,burningbush
Euonymus alatus,winged euonymus
Euonymus maackii,winterberry euonymus
Corynocarpus laevigatus,karaka
Salvadoraceae,mustard-tree family
Proteaceae,protea family
Primulaceae,primrose family
Ericaceae,heath family
Pterospora andromedea,pinedrops
Sarraceniaceae,pitcher plant family
Darlingtonia californica,California pitcherplant
Sarracenia,pitcherplants
Sarracenia flava,yellow pitcherplant
Droseraceae,sundew family
Drosera,sundews
Drosera filiformis,dewthread
Drosera peltata,mao gao cai
Campanulaceae,bellflower family
Hamamelis virginiana,American witch-hazel
Liquidambar styraciflua,American sweet gum
Platanaceae,plane-tree family
Platanus,plane trees
Platanus,sycamores
Platanus occidentalis,American sycamore
Platanus occidentalis,eastern plane-tree
Platanus occidentalis,eastern sycamore
Nymphaeaceae,water-lily family
Nuphar variegata,pond-lily
Nymphaea,water-lilies
Nymphaea odorata,American white water-lily
Victoria cruziana,Santa Cruz water-lily
Victoria cruziana,irupe
Cabombaceae,water-shield family
Ceratophyllum demersum,hornwort
Nelumbonaceae,lotus family
Nelumbo lutea,American lotus
Nelumbo lutea,yellow lotus
Nelumbo nucifera,Indian lotus
Nelumbo nucifera,padma
Plumbaginaceae,leadwort family
Camellia sinensis,black tea
Camellia japonica,common camellia
Liliopsida,monocots
Alismataceae,water-plantain family
Sagittaria sagittifolia,Old World arrowhead
Sagittaria sagittifolia,swamp potato
Sagittaria sagittifolia,swan potato
Araceae,arum family
Alocasia macrorrhizos,ape
Alocasia macrorrhizos,cunjevoi
Alocasia macrorrhizos,malanga
Arum maculatum,cuckoo-pint
Colocasia esculenta,cocoyam
Colocasia esculenta,dasheen
Colocasia esculenta,eddo
Colocasia esculenta,elephant's ear
Colocasia esculenta,kalo
Colocasia esculenta,malanga
Acorus calamus,flagroot
Acorus calamus,sweet flag
Pistia stratiotes,shellflower
Poaceae,grass family
Avena sativa,cultivated oat
Avena sativa,cultivated oats
Bromus secalinus,cheat
Bromus secalinus,chess
Bromus secalinus,chess bromegrass
Bromus secalinus,rye brome
Dactylis glomerata,cocksfoot
Hordeum,barleys
Hordeum vulgare,barley
Hordeum jubatum,foxtail barley
Lolium perenne,perennial ryegrass
Oryza longistaminata,long-staminate rice
Oryza longistaminata,red rice
Oryza rufipogon,common wild rice
Oryza rufipogon,red rice
Oryza sativa,red rice
Panicum,panicgrasses
Panicum miliaceum,broom millet
Panicum miliaceum,common millet
Panicum miliaceum,proso millet
Cenchrus americanus,bulrush millet
Cenchrus americanus,cattail millet
Cenchrus americanus,pearl millet
Saccharum officinarum,noble cane
Saccharum officinarum,sugarcane
Sorghum bicolor,broomcorn
Sorghum bicolor,milo
Sorghum halepense,Johnson grass
Triticum aestivum,Canadian hard winter wheat
Triticum aestivum,common wheat
Triticum aestivum,wheat
Triticum aestivum x Triticum timopheevi,common wheat x Sanduri wheat
Triticum monococcum,einkorn wheat
Triticum monococcum,one-grained wheat
Triticum monococcum,small spelt
Triticum timopheevii,Sanduri wheat
Triticum turgidum,English wheat
Triticum turgidum,cone wheat
Triticum turgidum,poulard wheat
Triticum turgidum,rivet wheat
Zea diploperennis,chapule
Zea diploperennis,milpilla
Zea diploperennis,teosinte
Zea mays,maize
Zea mays subsp. mexicana,Mexican teosinte
Zea mays subsp. mexicana,annual teosinte
Zea mays subsp. mexicana,teosinte
Zea perennis,perennial teosinte
Zea perennis,teosinte
Cenchrus setiger,anjan
Cenchrus setiger,birdwood grass
Thinopyrum elongatum,tall wheatgrass
Agropyron cristatum,crested wheatgrass
Pseudoroegneria spicata,beardless wheatgrass
Festuca arundinacea,tall fescue
Festuca pratensis,meadow ryegrass
Cyperaceae,sedge family
Bromeliaceae,bromeliad family
Marantaceae,prayer-plant family
Thaumatococcus daniellii,katemfe
Thaumatococcus daniellii,miracle fruit
Cannaceae,canna family
Canna indica,Indian-shot
Canna indica,Queensland arrowroot
Canna indica,canna
Canna indica,edible canna
Canna indica,gruya
Musaceae,banana family
Musa acuminata,banana
Musa acuminata,dessert bananas
Musa acuminata,sweet banana
Zingiberaceae,ginger family
Strelitziaceae,bird-of-paradise family
Strelitzia nicolai,white bird-of-paradise
Amaryllidaceae,amaryllis family
Dioscoreaceae,yam family
Dioscorea japonica,yama-no-imo
Molineria latifolia,lumbah
Liliaceae,lily family
Allium ursinum,wild garlic
Lilium longiflorum,Easter lily
Smilacaceae,catbrier famly
Arecaceae,palm family
Arecaceae,palms
Nypa fruticans,nypa palm
Phoenix reclinata,Senegal date palm
Serenoa repens,saw palmetto
Pandanaceae,screw-pine family
Pandanus tectorius,Veitch's screw pine
Pandanus tectorius,hala
Pandanus tectorius,pandan
Pandanus tectorius,thatch screw-pine
Typhaceae,bur-reed family
Typhaceae,cattail famly
Typha latifolia,common cattail
Commelinaceae,spiderwort family
Orchidaceae,orchid family
Phytophthora infestans,potato late blight
Phytophthora infestans,potato late blight fungus
Phytophthora megasperma,potato pink rot agent
Phytophthora megasperma,potato pink rot fungus
Phytophthora nicotianae,buckeye rot agent
Ascomycota,sac fungi
Saccharomyces cerevisiae,S. cerevisiae
Saccharomyces cerevisiae,brewer's yeast
Leptosphaeria maculans,blackleg of canola fungus
Leptosphaeria maculans,blackleg of crucifers fungus
Amorphotheca resinae,kerosene fungus
Ophiostoma ulmi,Dutch elm disease fungus
Tremella mesenterica,witches' butter
Ustilaginales,smuts
Pleurotus ostreatus,shimeji
Agaricus bisporus,button mushroom
Agaricus bisporus,common mushroom
Agaricus bisporus,cultivated mushroom
Helicobasidium purpureum,violet root rot
Grifola frondosa,maitake
Laetiporus sulphureus,chicken-of-the-woods
Parabasalia,parabasalians
Diplomonadida,diplomonads
Eustigmatophyceae,eustigmatophytes
Naegleria fowleri,brain-eating amoeba
Microsporidia,microsporidians
Ephydatia muelleri,Mueller's freshwater sponge
Cnidaria,coelenterates
Hydra oligactis,brown hydra
Actiniaria,actinians
Metridium senile,frilled sea anemone
Acropora cervicornis,staghorn coral
Acropora palmata,elkhorn coral
Pennatulacea,sea pansies
Cubozoa,box jellies
Cubozoa,box jellyfishes
Platyhelminthes,flatworm
Opisthorchis viverrini,Southeast Asian liver fluke
Taenia solium,pig tapeworm
Hymenolepis diminuta,rat tapeworm
Nemertea,bootlace worms
Nemertea,nemertines
Cerebratulus lacteus,milky ribbon worm
Nematoda,nematode
Nematoda,nematodes
Nematoda,roundworm
Caenorhabditis elegans,roundworm
Toxocara cati,feline roundworm
Pseudoterranova decipiens,sealworm
Brugia malayi,agent of lymphatic filariasis
Dirofilaria immitis,canine heartworm nematode
Haemonchus contortus,red stomach worm
Wuchereria bancrofti,agent of lymphatic filariasis
Bursaphelenchus xylophilus,pine wilt nematode
Bursaphelenchus xylophilus,pinewood nematode
Arenicola marina,rock worm
Eisenia fetida,brandling worm
Eisenia fetida,common dung-worm
Eisenia fetida,red wiggler worm
Eisenia fetida,redworm
Eisenia fetida,tiger worm
Riftia pachyptila,giant tube worm
Echiura,fat innkeeper worms
Echiura,innkeeper worms
Sipuncula,peanut worm
Sipuncula,sipunculids
Phascolopsis gouldii,peanut worm
Mollusca,molluscs
Haliotis corrugata,abalone
Haliotis rufescens,California red abalone
Cerithidea rhizophorarum,horn shell
Conus tulipa,fish-hunting cone snail
Biomphalaria glabrata,bloodfluke planorb
Helix pomatia,edible snail
Mytilus edulis,blue mussel
Mytilus edulis,edible mussel
Mytilus trossulus,bay mussel
Barbatia reeveana,low-rib ark
Mizuhopecten yessoensis,ezo giant scallop
Spisula solidissima,Atlantic surf-clam
Ensis minor,jackknife clam
Ensis minor,razor shell
Macrocallista nimbosa,sun-ray clam
Mercenaria mercenaria,northern quahog
Mya arenaria,softshell
Sepiidae,cuttlefishes
Artemia,sea monkeys
Cladocera,water flea
Ostracoda,ostracodes
Balanus nubilus,giant barnacle
Penaeus monodon,giant tiger prawn
Penaeus monodon,tiger prawn
Penaeus vannamei,white Pacific shrimp
Penaeus vannamei,white shrimp
lobster,lobsters
Pandalus borealis,northern red shrimp
Astacus astacus,broad-fingered crayfish
Astacus leptodactylus,narrow-fingered crayfish
Paralithodes camtschaticus,Kamchatka crab
Pagurus,hermit crabs
Brachyura,true crabs
Cancer pagurus,rock crab
Carcinus maenas,common shore crab
Scylla,mud crabs
Scylla serrata,Indo-Pacific swamp crab
Scylla serrata,Samoan crab
Scylla serrata,mud crab
Amphipoda,amphipods
Tigriopus californicus,tidepool copepod
Chelicerata,chelicerates
Carcinoscorpius rotundicauda,mangrove horseshoe crab
Tachypleus gigas,Chinese horseshoe crab
Tachypleus tridentatus,Chinese horseshoe crab
Tachypleus tridentatus,Japanese horseshoe crab
Centruroides limpidus,Mexican scorpion
Centruroides exilicauda,bark scorpion
Leiurus quinquestriatus,yellow scorpion
Mygalomorphae,mygalomorphs
Theraphosidae,baboon spiders
Theraphosidae,bird spiders
Latrodectus mactans,southern black widow
Latrodectus tredecimguttatus,black widow spider
Argasidae,soft ticks
Ixodidae,hard ticks
Ixodidae,scale ticks
Rhipicephalus microplus,cattle tick
Ixodes scapularis,blacklegged tick
Ixodes scapularis,deer tick
Ixodes scapularis,shoulder tick
Libellulidae,skimmers
Libellula pulchella,ten-spot pond skimmer
Libellula pulchella,twelve-spotted skimmer
Nauphoeta cinerea,cinereous cockroach
Romalea microptera,lubber grasshopper
Romalea microptera,southeastern lubber grasshopper
Schistocerca gregaria,desert locust
Schistocerca nitens,gray bird locust
Phasmatodea,stick insects
Extatosoma tiaratum,Macleay's spectre
Extatosoma tiaratum,Macleay's spectre stick insect
Bemisia tabaci,sweet potato whitefly
Lampyridae,firefly beetles
Luciola cruciata,genji firefly
Photinus pyralis,North American firefly
Scarabaeidae,lamellicorn beetles
Cetoniinae,flower beetles
Cetoniinae,goliath beetles
Melolonthinae,chafers
Melolontha melolontha,maybug
Tenebrionidae,darkling beetles
Tenebrionidae,long-jointed beetles
Tribolium castaneum,rust-red flour beetle
Zophobas atratus,giant mealworm
Zophobas atratus,giant mealworm beetle
Zophobas atratus,kingworm
Zophobas atratus,kingworm beetle
Zophobas atratus,superworm
Coccinellidae,lady beetles
Coccinellidae,ladybirds
Coccinellidae,ladybugs
Lepidoptera,moths
Bombyx mori,silk moth
Bombyx mori,silkworm
Malacosoma neustria,common lackey
Noctuidae,noctuid moths
Spodoptera exigua,pigweed caterpillar
Spodoptera exigua,small mottled willow caterpillar
Spodoptera littoralis,Egyptian cotton leafworm
Helicoverpa zea,bollworm
Helicoverpa zea,tomato fruitworm
Pieris brassicae,cabbage butterfly
Pieris brassicae,large white
Pieris brassicae,white butterfly
Saturniidae,giant silkworm moths
Antheraea pernyi,Chinese oak silk moth
Antheraea pernyi,oak silkmoth
Antheraea yamamai,Japanese oak silk moth
Antheraea yamamai,oak silkmoth
Samia cynthia,cynthia moth
Manduca sexta,Carolina sphinx
Manduca sexta,hornblower
